SURFACE add-owned-surface=0
SURFACE surface-bounds=0
SURFACE order-surface=0
SURFACE secondary-owner=0
SURFACE share-owned-window=0
SURFACE parent=43671 child=39971 window=2016 surface=148740311
SURFACE choose-format=0
SURFACE create-context=0
SURFACE attach-other-process-surface=0
SURFACE current-context=0
SURFACE swap-interval=0
SURFACE renderer=NVIDIA GeForce 8600M GT OpenGL Engine
SURFACE mode=ca
SURFACE frame_storage=pool
SURFACE quartzcore_path=/Users/shg/wk2/runs/20260923-204111-surface-ca-pool-94f68ad825/bin/../Frameworks/QuartzCore.framework/Versions/A/QuartzCore
SURFACE overlay=opaque-magenta rect=40,40,200,72 above=fresh-video-image
SURFACE FRAME id=118 allocation_ms=0.002 memcpy_ms=2.032 image_ms=0.012 transaction_ms=0.079 render_ms=14.759 flush_ms=4.175 total_ms=21.080
SURFACE FRAME id=119 allocation_ms=0.002 memcpy_ms=2.071 image_ms=0.011 transaction_ms=0.080 render_ms=14.605 flush_ms=3.770 total_ms=20.559
SURFACE FRAME id=120 allocation_ms=0.001 memcpy_ms=2.036 image_ms=0.011 transaction_ms=0.077 render_ms=14.562 flush_ms=3.797 total_ms=20.504
SURFACE FRAME id=121 allocation_ms=0.002 memcpy_ms=2.097 image_ms=0.011 transaction_ms=0.080 render_ms=14.566 flush_ms=3.748 total_ms=20.525
SURFACE FRAME id=122 allocation_ms=0.003 memcpy_ms=2.137 image_ms=0.012 transaction_ms=0.087 render_ms=14.460 flush_ms=3.774 total_ms=20.495
SURFACE FRAME id=123 allocation_ms=0.003 memcpy_ms=2.189 image_ms=0.011 transaction_ms=0.076 render_ms=14.144 flush_ms=3.878 total_ms=20.324
SURFACE FRAME id=124 allocation_ms=0.002 memcpy_ms=2.142 image_ms=0.011 transaction_ms=0.077 render_ms=14.579 flush_ms=3.833 total_ms=20.663
SURFACE FRAME id=125 allocation_ms=0.002 memcpy_ms=2.194 image_ms=0.012 transaction_ms=0.076 render_ms=14.327 flush_ms=3.797 total_ms=20.427
SURFACE FRAME id=126 allocation_ms=0.003 memcpy_ms=2.221 image_ms=0.012 transaction_ms=0.082 render_ms=14.639 flush_ms=3.860 total_ms=20.843
SURFACE FRAME id=127 allocation_ms=0.003 memcpy_ms=2.398 image_ms=0.012 transaction_ms=0.077 render_ms=14.378 flush_ms=3.794 total_ms=20.682
