SURFACE add-owned-surface=0
SURFACE surface-bounds=0
SURFACE order-surface=0
SURFACE secondary-owner=0
SURFACE share-owned-window=0
SURFACE parent=43667 child=39967 window=2015 surface=147787958
SURFACE choose-format=0
SURFACE create-context=0
SURFACE attach-other-process-surface=0
SURFACE current-context=0
SURFACE swap-interval=0
SURFACE renderer=NVIDIA GeForce 8600M GT OpenGL Engine
SURFACE mode=ca
SURFACE frame_storage=malloc
SURFACE quartzcore_path=/Users/shg/wk2/runs/20260923-204030-surface-ca-malloc-dc42a1c31b/bin/../Frameworks/QuartzCore.framework/Versions/A/QuartzCore
SURFACE overlay=opaque-magenta rect=40,40,200,72 above=fresh-video-image
SURFACE FRAME id=122 allocation_ms=0.023 memcpy_ms=11.399 image_ms=0.013 transaction_ms=0.077 render_ms=14.361 flush_ms=3.838 total_ms=29.722
SURFACE FRAME id=123 allocation_ms=0.024 memcpy_ms=11.220 image_ms=0.011 transaction_ms=0.075 render_ms=14.929 flush_ms=3.769 total_ms=30.041
SURFACE FRAME id=124 allocation_ms=0.021 memcpy_ms=10.999 image_ms=0.011 transaction_ms=0.076 render_ms=17.088 flush_ms=4.143 total_ms=32.350
SURFACE FRAME id=125 allocation_ms=0.022 memcpy_ms=11.452 image_ms=0.012 transaction_ms=0.078 render_ms=16.508 flush_ms=4.255 total_ms=32.341
SURFACE FRAME id=126 allocation_ms=0.028 memcpy_ms=11.476 image_ms=0.015 transaction_ms=0.079 render_ms=14.381 flush_ms=3.751 total_ms=29.741
SURFACE FRAME id=127 allocation_ms=0.024 memcpy_ms=11.863 image_ms=0.014 transaction_ms=0.076 render_ms=14.619 flush_ms=3.816 total_ms=30.425
SURFACE FRAME id=128 allocation_ms=0.022 memcpy_ms=11.847 image_ms=0.012 transaction_ms=0.076 render_ms=14.599 flush_ms=3.820 total_ms=30.390
SURFACE FRAME id=129 allocation_ms=0.025 memcpy_ms=11.077 image_ms=0.013 transaction_ms=0.081 render_ms=14.961 flush_ms=3.834 total_ms=30.005
SURFACE FRAME id=130 allocation_ms=0.023 memcpy_ms=11.246 image_ms=0.011 transaction_ms=0.076 render_ms=14.373 flush_ms=3.690 total_ms=29.433
SURFACE FRAME id=131 allocation_ms=0.022 memcpy_ms=10.985 image_ms=0.016 transaction_ms=0.075 render_ms=14.631 flush_ms=3.805 total_ms=29.548
SURFACE FRAME id=132 allocation_ms=0.026 memcpy_ms=11.348 image_ms=0.011 transaction_ms=0.074 render_ms=15.521 flush_ms=3.765 total_ms=30.759
SURFACE FRAME id=133 allocation_ms=0.022 memcpy_ms=10.817 image_ms=0.013 transaction_ms=0.078 render_ms=14.770 flush_ms=3.829 total_ms=29.543
SURFACE FRAME id=134 allocation_ms=0.020 memcpy_ms=11.255 image_ms=0.014 transaction_ms=0.079 render_ms=14.450 flush_ms=3.695 total_ms=29.527
SURFACE FRAME id=135 allocation_ms=0.024 memcpy_ms=11.875 image_ms=0.013 transaction_ms=0.079 render_ms=14.587 flush_ms=3.739 total_ms=30.331
SURFACE FRAME id=136 allocation_ms=0.022 memcpy_ms=11.750 image_ms=0.013 transaction_ms=0.077 render_ms=14.549 flush_ms=3.787 total_ms=30.212
SURFACE FRAME id=137 allocation_ms=0.022 memcpy_ms=11.163 image_ms=0.013 transaction_ms=0.078 render_ms=14.796 flush_ms=3.780 total_ms=29.864
SURFACE FRAME id=138 allocation_ms=0.024 memcpy_ms=11.222 image_ms=0.013 transaction_ms=0.077 render_ms=14.265 flush_ms=3.754 total_ms=29.374
SURFACE FRAME id=139 allocation_ms=0.023 memcpy_ms=11.103 image_ms=0.013 transaction_ms=0.077 render_ms=14.679 flush_ms=3.871 total_ms=29.779
SURFACE FRAME id=140 allocation_ms=0.022 memcpy_ms=11.488 image_ms=0.013 transaction_ms=0.082 render_ms=15.162 flush_ms=3.828 total_ms=30.608
SURFACE FRAME id=141 allocation_ms=0.025 memcpy_ms=10.968 image_ms=0.012 transaction_ms=0.077 render_ms=15.095 flush_ms=3.793 total_ms=29.983
SURFACE FRAME id=142 allocation_ms=0.021 memcpy_ms=10.867 image_ms=0.013 transaction_ms=0.078 render_ms=16.151 flush_ms=4.581 total_ms=31.725
SURFACE FRAME id=143 allocation_ms=0.027 memcpy_ms=12.033 image_ms=0.012 transaction_ms=0.079 render_ms=14.683 flush_ms=3.669 total_ms=30.515
